Model,N_Train_Paths,Run,Test_Error
Naive FFNN,1,0,12.671319007873535
PANN,1,0,
Naive FFNN,2,0,13.52066421508789
PANN,2,0,
Naive FFNN,4,0,14.491557121276855
PANN,4,0,
Naive FFNN,8,0,13.649791717529297
PANN,8,0,
Naive FFNN,16,0,14.908801078796387
PANN,16,0,
Naive FFNN,32,0,7.686619281768799
PANN,32,0,
Naive FFNN,48,0,7.421965599060059
PANN,48,0,
Naive FFNN,64,0,4.891896724700928
PANN,64,0,
Naive FFNN,80,0,3.6264679431915283
PANN,80,0,
Naive FFNN,1,1,12.649667739868164
PANN,1,1,
Naive FFNN,2,1,18.25370216369629
PANN,2,1,
Naive FFNN,4,1,16.106752395629883
PANN,4,1,
Naive FFNN,8,1,12.132244110107422
PANN,8,1,
Naive FFNN,16,1,14.04884147644043
PANN,16,1,
Naive FFNN,32,1,7.609438419342041
PANN,32,1,
Naive FFNN,48,1,4.795589923858643
PANN,48,1,
Naive FFNN,64,1,4.823000431060791
PANN,64,1,
Naive FFNN,80,1,4.0721001625061035
PANN,80,1,
Naive FFNN,1,2,13.204866409301758
PANN,1,2,
Naive FFNN,2,2,13.799659729003906
PANN,2,2,
Naive FFNN,4,2,13.203363418579102
PANN,4,2,
Naive FFNN,8,2,20.228038787841797
PANN,8,2,
Naive FFNN,16,2,13.401827812194824
PANN,16,2,
Naive FFNN,32,2,6.476770401000977
PANN,32,2,
Naive FFNN,48,2,5.531609058380127
PANN,48,2,
Naive FFNN,64,2,5.831099033355713
PANN,64,2,
Naive FFNN,80,2,2.605053424835205
PANN,80,2,
Naive FFNN,1,3,12.728111267089844
PANN,1,3,
Naive FFNN,2,3,13.546669006347656
PANN,2,3,
Naive FFNN,4,3,11.470878601074219
PANN,4,3,
Naive FFNN,8,3,11.337834358215332
PANN,8,3,
Naive FFNN,16,3,11.852006912231445
PANN,16,3,
Naive FFNN,32,3,6.857711315155029
PANN,32,3,
Naive FFNN,48,3,5.22364616394043
PANN,48,3,
Naive FFNN,64,3,4.422056674957275
PANN,64,3,
Naive FFNN,80,3,4.4962544441223145
PANN,80,3,
Naive FFNN,1,4,14.154199600219727
PANN,1,4,
Naive FFNN,2,4,13.029409408569336
PANN,2,4,
Naive FFNN,4,4,13.77464771270752
PANN,4,4,
Naive FFNN,8,4,14.959122657775879
PANN,8,4,
Naive FFNN,16,4,11.344939231872559
PANN,16,4,
Naive FFNN,32,4,7.5151801109313965
PANN,32,4,
Naive FFNN,48,4,6.359466552734375
PANN,48,4,
Naive FFNN,64,4,3.9912078380584717
PANN,64,4,
Naive FFNN,80,4,3.0176925659179688
PANN,80,4,
