Model,N_Train_Paths,Run,Init,Test_Error
Naive FFNN,1,0,0,12.671341896057129
PANN,1,0,0,0.02295665629208088
Naive FFNN,5,0,0,14.39352035522461
PANN,5,0,0,0.3415583670139313
Naive FFNN,10,0,0,12.729593276977539
PANN,10,0,0,0.15719617903232574
Naive FFNN,15,0,0,10.654753684997559
PANN,15,0,0,0.037819355726242065
Naive FFNN,20,0,0,7.720494270324707
PANN,20,0,0,0.02026788704097271
Naive FFNN,25,0,0,11.875221252441406
PANN,25,0,0,0.18856604397296906
Naive FFNN,30,0,0,7.094283580780029
PANN,30,0,0,0.2743982970714569
Naive FFNN,35,0,0,6.820394039154053
PANN,35,0,0,0.16959717869758606
Naive FFNN,40,0,0,8.333525657653809
PANN,40,0,0,0.035160571336746216
Naive FFNN,45,0,0,5.005020618438721
PANN,45,0,0,0.020982690155506134
Naive FFNN,50,0,0,5.307723045349121
PANN,50,0,0,0.047674961388111115
Naive FFNN,55,0,0,4.7418317794799805
PANN,55,0,0,0.035160258412361145
Naive FFNN,60,0,0,3.4823977947235107
PANN,60,0,0,0.035565104335546494
Naive FFNN,65,0,0,4.312468528747559
PANN,65,0,0,0.039289023727178574
Naive FFNN,70,0,0,3.728163957595825
PANN,70,0,0,0.05425652861595154
Naive FFNN,75,0,0,3.4452123641967773
PANN,75,0,0,0.05059032514691353
Naive FFNN,80,0,0,3.6263809204101562
PANN,80,0,0,0.023464560508728027
Naive FFNN,85,0,0,2.973536968231201
PANN,85,0,0,0.05577602982521057
Naive FFNN,90,0,0,2.7233850955963135
PANN,90,0,0,0.029528340324759483
Naive FFNN,95,0,0,3.245116949081421
PANN,95,0,0,0.018855387344956398
Naive FFNN,1,0,1,13.367325782775879
PANN,1,0,1,0.027671342715620995
Naive FFNN,5,0,1,13.971458435058594
PANN,5,0,1,0.41424763202667236
Naive FFNN,10,0,1,12.921674728393555
PANN,10,0,1,0.1698678433895111
Naive FFNN,15,0,1,12.321267127990723
PANN,15,0,1,0.026566721498966217
Naive FFNN,20,0,1,9.699329376220703
PANN,20,0,1,0.02610471285879612
Naive FFNN,25,0,1,10.233981132507324
PANN,25,0,1,0.16915667057037354
Naive FFNN,30,0,1,6.470065593719482
PANN,30,0,1,0.37842094898223877
Naive FFNN,35,0,1,6.771455764770508
PANN,35,0,1,0.18274524807929993
Naive FFNN,40,0,1,6.858543872833252
PANN,40,0,1,0.0288546085357666
Naive FFNN,45,0,1,7.075692653656006
PANN,45,0,1,0.03265901654958725
Naive FFNN,50,0,1,6.681439399719238
PANN,50,0,1,0.01938025839626789
Naive FFNN,55,0,1,3.7545166015625
PANN,55,0,1,0.034171365201473236
Naive FFNN,60,0,1,5.14641809463501
PANN,60,0,1,0.04410475492477417
Naive FFNN,65,0,1,3.5249109268188477
PANN,65,0,1,0.06555779278278351
Naive FFNN,70,0,1,3.9039711952209473
PANN,70,0,1,0.0309177003800869
Naive FFNN,75,0,1,4.863177299499512
PANN,75,0,1,0.04051203653216362
Naive FFNN,80,0,1,3.787153959274292
PANN,80,0,1,0.031273748725652695
Naive FFNN,85,0,1,4.949036598205566
PANN,85,0,1,0.0601140633225441
Naive FFNN,90,0,1,2.983293294906616
PANN,90,0,1,0.025223275646567345
Naive FFNN,95,0,1,2.701986312866211
PANN,95,0,1,0.02335522510111332
Naive FFNN,1,0,2,15.15233325958252
PANN,1,0,2,0.02951388992369175
Naive FFNN,5,0,2,14.300820350646973
PANN,5,0,2,0.32862988114356995
Naive FFNN,10,0,2,13.872148513793945
PANN,10,0,2,0.13165928423404694
Naive FFNN,15,0,2,14.359550476074219
PANN,15,0,2,0.07187565416097641
Naive FFNN,20,0,2,10.209159851074219
PANN,20,0,2,0.02744716964662075
Naive FFNN,25,0,2,12.544365882873535
PANN,25,0,2,0.27437976002693176
Naive FFNN,30,0,2,9.774884223937988
PANN,30,0,2,0.4380200505256653
