Model,N_Train_Paths,Run,Init,Test_Error
Naive FFNN,1,0,0,14.602056503295898
Naive FFNN,1,0,1,12.525411605834961
Naive FFNN,1,0,2,15.202821731567383
Naive FFNN,1,1,0,13.573013305664062
Naive FFNN,1,1,1,15.14885425567627
Naive FFNN,1,1,2,14.078676223754883
Naive FFNN,1,2,0,13.277613639831543
Naive FFNN,1,2,1,12.741679191589355
Naive FFNN,1,2,2,13.609821319580078
Naive FFNN,1,3,0,14.436982154846191
Naive FFNN,1,3,1,14.271012306213379
Naive FFNN,1,3,2,14.05357551574707
Naive FFNN,1,4,0,14.363446235656738
Naive FFNN,1,4,1,14.43645191192627
Naive FFNN,1,4,2,15.005279541015625
PANN,1,0,0,0.5522095561027527
PANN,1,0,1,0.5428539514541626
PANN,1,0,2,0.5675321221351624
PANN,1,1,0,1.058972954750061
PANN,1,1,1,1.2074542045593262
PANN,1,1,2,1.1033525466918945
PANN,1,2,0,1.444701910018921
PANN,1,2,1,1.571447730064392
PANN,1,2,2,1.2799495458602905
PANN,1,3,0,1.9513404369354248
PANN,1,3,1,1.5038588047027588
PANN,1,3,2,1.6984179019927979
PANN,1,4,0,1.608206868171692
PANN,1,4,1,1.0546237230300903
PANN,1,4,2,1.1365315914154053
Naive FFNN,10,0,0,13.46491527557373
Naive FFNN,10,0,1,13.75273323059082
Naive FFNN,10,0,2,13.718697547912598
Naive FFNN,10,1,0,12.893824577331543
Naive FFNN,10,1,1,12.969614028930664
Naive FFNN,10,1,2,13.32164192199707
Naive FFNN,10,2,0,11.675020217895508
Naive FFNN,10,2,1,12.119691848754883
Naive FFNN,10,2,2,12.626880645751953
Naive FFNN,10,3,0,16.257333755493164
Naive FFNN,10,3,1,14.056662559509277
Naive FFNN,10,3,2,14.769549369812012
Naive FFNN,10,4,0,15.415947914123535
Naive FFNN,10,4,1,14.545551300048828
Naive FFNN,10,4,2,15.327929496765137
PANN,10,0,0,1.146064043045044
PANN,10,0,1,0.6418372988700867
PANN,10,0,2,0.7643247246742249
PANN,10,1,0,1.23265540599823
PANN,10,1,1,1.4615119695663452
PANN,10,1,2,1.1128426790237427
PANN,10,2,0,1.6783350706100464
PANN,10,2,1,1.8165278434753418
PANN,10,2,2,1.7052797079086304
PANN,10,3,0,0.6842177510261536
PANN,10,3,1,0.5784016251564026
PANN,10,3,2,0.5703001022338867
PANN,10,4,0,2.5823960304260254
PANN,10,4,1,2.539452075958252
PANN,10,4,2,3.1084342002868652
Naive FFNN,20,0,0,9.222962379455566
Naive FFNN,20,0,1,12.367835998535156
Naive FFNN,20,0,2,9.815866470336914
Naive FFNN,20,1,0,11.34019660949707
Naive FFNN,20,1,1,9.722164154052734
Naive FFNN,20,1,2,10.26492977142334
Naive FFNN,20,2,0,12.73539924621582
Naive FFNN,20,2,1,12.014466285705566
Naive FFNN,20,2,2,11.205907821655273
Naive FFNN,20,3,0,12.88907527923584
Naive FFNN,20,3,1,12.947078704833984
Naive FFNN,20,3,2,15.268229484558105
Naive FFNN,20,4,0,10.439058303833008
Naive FFNN,20,4,1,11.140817642211914
Naive FFNN,20,4,2,10.916102409362793
PANN,20,0,0,0.3987705707550049
PANN,20,0,1,0.5310589671134949
PANN,20,0,2,0.5365830063819885
PANN,20,1,0,1.6089298725128174
PANN,20,1,1,1.1723037958145142
PANN,20,1,2,1.3209019899368286
PANN,20,2,0,0.6047865152359009
PANN,20,2,1,0.7745686769485474
PANN,20,2,2,0.5701429843902588
PANN,20,3,0,0.4922497868537903
PANN,20,3,1,0.6094505786895752
PANN,20,3,2,0.883163571357727
PANN,20,4,0,1.6156644821166992
PANN,20,4,1,2.1775035858154297
PANN,20,4,2,2.3877055644989014
Naive FFNN,30,0,0,8.273662567138672
Naive FFNN,30,0,1,8.678262710571289
Naive FFNN,30,0,2,10.572928428649902
Naive FFNN,30,1,0,8.193527221679688
Naive FFNN,30,1,1,9.379070281982422
Naive FFNN,30,1,2,8.64996337890625
Naive FFNN,30,2,0,8.60492992401123
Naive FFNN,30,2,1,10.16923999786377
Naive FFNN,30,2,2,10.277427673339844
Naive FFNN,30,3,0,9.339254379272461
Naive FFNN,30,3,1,10.689565658569336
Naive FFNN,30,3,2,10.006428718566895
Naive FFNN,30,4,0,9.019393920898438
Naive FFNN,30,4,1,10.672664642333984
Naive FFNN,30,4,2,9.414342880249023
PANN,30,0,0,1.3012200593948364
PANN,30,0,1,1.508108139038086
PANN,30,0,2,1.1059739589691162
PANN,30,1,0,0.5428200960159302
PANN,30,1,1,0.6718789935112
PANN,30,1,2,0.7206729650497437
PANN,30,2,0,0.993885338306427
PANN,30,2,1,0.6112907528877258
PANN,30,2,2,0.43105876445770264
PANN,30,3,0,0.4827735722064972
PANN,30,3,1,0.9747065305709839
PANN,30,3,2,0.564914345741272
PANN,30,4,0,0.6615044474601746
PANN,30,4,1,0.45505663752555847
PANN,30,4,2,0.45127859711647034
Naive FFNN,40,0,0,8.798739433288574
Naive FFNN,40,0,1,7.301370143890381
Naive FFNN,40,0,2,7.8877058029174805
Naive FFNN,40,1,0,6.4797186851501465
Naive FFNN,40,1,1,6.418391227722168
Naive FFNN,40,1,2,6.814875602722168
Naive FFNN,40,2,0,8.846917152404785
Naive FFNN,40,2,1,9.371063232421875
Naive FFNN,40,2,2,7.2146992683410645
Naive FFNN,40,3,0,9.15748119354248
Naive FFNN,40,3,1,6.745793342590332
Naive FFNN,40,3,2,7.225888252258301
Naive FFNN,40,4,0,7.445461750030518
Naive FFNN,40,4,1,8.288727760314941
Naive FFNN,40,4,2,6.176941394805908
PANN,40,0,0,0.6688024997711182
PANN,40,0,1,0.5808916091918945
PANN,40,0,2,0.5938615202903748
PANN,40,1,0,0.5731484293937683
PANN,40,1,1,0.5777414441108704
PANN,40,1,2,0.5738363862037659
PANN,40,2,0,0.5124703049659729
PANN,40,2,1,0.43576812744140625
PANN,40,2,2,0.43507105112075806
PANN,40,3,0,1.1903787851333618
PANN,40,3,1,0.6665988564491272
PANN,40,3,2,1.2990182638168335
PANN,40,4,0,0.4617145359516144
PANN,40,4,1,0.46852532029151917
PANN,40,4,2,0.5358366370201111
